name,address,website,phone_number,reviews_count,reviews_average,category,subcategory,city,state,area
K3 - New Delhi's Food Theatre,"Metro Station South Extension, E 31-32, NH 48, South Extension II, New Delhi, Delhi 110049",motimahaldelux.in,087008 77544,,4.0,restaurant,,delhi,delhi,"Metro Station South Extension, E 31-32"
Sevilla,"Metro Station South Extension, E 31-32, NH 48, South Extension II, New Delhi, Delhi 110049",motimahaldelux.in,087008 77544,,4.0,restaurant,,delhi,delhi,"Metro Station South Extension, E 31-32"
Delhi Pavilion,"Metro Station South Extension, E 31-32, NH 48, South Extension II, New Delhi, Delhi 110049",motimahaldelux.in,087008 77544,,4.0,restaurant,,delhi,delhi,"Metro Station South Extension, E 31-32"
Zaffran,"Metro Station South Extension, E 31-32, NH 48, South Extension II, New Delhi, Delhi 110049",motimahaldelux.in,087008 77544,,4.0,restaurant,,delhi,delhi,"Metro Station South Extension, E 31-32"
Lazeez Affaire,"6, Shopping Complex, 48, Malcha Marg, Block C, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021",lazeezaffaire.co.in,098993 30055,,4.2,restaurant,,delhi,delhi,"6, Shopping Complex"
Pindi Restaurant Delhi,"6, Shopping Complex, 48, Malcha Marg, Block C, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021",lazeezaffaire.co.in,098993 30055,,4.2,restaurant,,delhi,delhi,"6, Shopping Complex"
Loya,"6, Shopping Complex, 48, Malcha Marg, Block C, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021",lazeezaffaire.co.in,098993 30055,,4.2,restaurant,,delhi,delhi,"6, Shopping Complex"
Dilli Kanteen Kitchen,"6, Shopping Complex, 48, Malcha Marg, Block C, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021",lazeezaffaire.co.in,098993 30055,,4.2,restaurant,,delhi,delhi,"6, Shopping Complex"
Food Exchange,"6, Shopping Complex, 48, Malcha Marg, Block C, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021",lazeezaffaire.co.in,098993 30055,,4.2,restaurant,,delhi,delhi,"6, Shopping Complex"
The Indian Grill Restaurant,"6, Shopping Complex, 48, Malcha Marg, Block C, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021",lazeezaffaire.co.in,098993 30055,,4.2,restaurant,,delhi,delhi,"6, Shopping Complex"
Jamavar,"6, Shopping Complex, 48, Malcha Marg, Block C, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021",lazeezaffaire.co.in,098993 30055,,4.2,restaurant,,delhi,delhi,"6, Shopping Complex"
Saravana Bhavan,"6, Shopping Complex, 48, Malcha Marg, Block C, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021",lazeezaffaire.co.in,098993 30055,,4.2,restaurant,,delhi,delhi,"6, Shopping Complex"
Daryaganj Restaurant,"6, Shopping Complex, 48, Malcha Marg, Block C, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021",lazeezaffaire.co.in,098993 30055,,4.2,restaurant,,delhi,delhi,"6, Shopping Complex"
The Chatter House,"6, Shopping Complex, 48, Malcha Marg, Block C, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021",lazeezaffaire.co.in,098993 30055,,4.2,restaurant,,delhi,delhi,"6, Shopping Complex"
Indian Accent,"6, Shopping Complex, 48, Malcha Marg, Block C, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021",lazeezaffaire.co.in,098993 30055,,4.2,restaurant,,delhi,delhi,"6, Shopping Complex"
The Imperial Spice,"6, Shopping Complex, 48, Malcha Marg, Block C, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021",lazeezaffaire.co.in,098993 30055,,4.2,restaurant,,delhi,delhi,"6, Shopping Complex"
Bukhara,"6, Shopping Complex, 48, Malcha Marg, Block C, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021",lazeezaffaire.co.in,098993 30055,,4.2,restaurant,,delhi,delhi,"6, Shopping Complex"
Veda Restaurant,"ITC MAURYA, Sardar Patel Marg, Akhaura Block, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021",itchotels.com,,,4.5,restaurant,,delhi,delhi,"ITC MAURYA, Sardar Patel Marg"
Sana-di-ge Delhi - Seafood Restaurant,"ITC MAURYA, Sardar Patel Marg, Akhaura Block, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021",itchotels.com,,,4.5,restaurant,,delhi,delhi,"ITC MAURYA, Sardar Patel Marg"
Town Hall,"ITC MAURYA, Sardar Patel Marg, Akhaura Block, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021",itchotels.com,,,4.5,restaurant,,delhi,delhi,"ITC MAURYA, Sardar Patel Marg"
Varq,"ITC MAURYA, Sardar Patel Marg, Akhaura Block, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021",itchotels.com,,,4.5,restaurant,,delhi,delhi,"ITC MAURYA, Sardar Patel Marg"
"Pind Balluchi Regal Building, Connaught Place, Delhi","ITC MAURYA, Sardar Patel Marg, Akhaura Block, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021",itchotels.com,,,4.5,restaurant,,delhi,delhi,"ITC MAURYA, Sardar Patel Marg"
Parikrama The Revolving Restaurant,"ITC MAURYA, Sardar Patel Marg, Akhaura Block, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021",itchotels.com,,,4.5,restaurant,,delhi,delhi,"ITC MAURYA, Sardar Patel Marg"
Diggin Cafe,"ITC MAURYA, Sardar Patel Marg, Akhaura Block, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021",itchotels.com,,,4.5,restaurant,,delhi,delhi,"ITC MAURYA, Sardar Patel Marg"
Thyme Restaurant - The Umrao,"ITC MAURYA, Sardar Patel Marg, Akhaura Block, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021",itchotels.com,,,4.5,restaurant,,delhi,delhi,"ITC MAURYA, Sardar Patel Marg"
Capital Restaurant,"ITC MAURYA, Sardar Patel Marg, Akhaura Block, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021",itchotels.com,,,4.5,restaurant,,delhi,delhi,"ITC MAURYA, Sardar Patel Marg"
"Gulati Restaurant, Pandara Road","ITC MAURYA, Sardar Patel Marg, Akhaura Block, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021",itchotels.com,,,4.5,restaurant,,delhi,delhi,"ITC MAURYA, Sardar Patel Marg"
"Sagar Ratna Restaurant, Ashoka Hotel","ITC MAURYA, Sardar Patel Marg, Akhaura Block, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021",itchotels.com,,,4.5,restaurant,,delhi,delhi,"ITC MAURYA, Sardar Patel Marg"
Kake Di Hatti,"ITC MAURYA, Sardar Patel Marg, Akhaura Block, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110021",itchotels.com,,,4.5,restaurant,,delhi,delhi,"ITC MAURYA, Sardar Patel Marg"
Viva all-day dining Holiday Inn Aerocity,"Church Mission Rd, Cloth Market, Katra Ghel, Khari Baoli, Chandni Chowk, New Delhi, Delhi, 110006",kakedihatti.com,098109 09754,,4.1,restaurant,,delhi,delhi,"Church Mission Rd, Cloth Market"
